N,Z,A,Mass Excess (keV),Zshell_category,Nshell_category,ZEO,NEO,deltaN,deltaZ,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A
1,0,1,8071.31806,1,1,0,1,1,2,1.0,0.0,1.0
0,1,1,7288.971064,1,1,1,0,2,1,1.0,0.0,1.0
1,1,2,13135.722895,1,1,1,1,1,1,1.5874010519681994,0.0,0.0
2,1,3,14949.8109,1,1,1,0,0,1,2.080083823051904,0.0,0.3333333333333333
1,2,3,14931.21888,1,1,0,1,1,0,2.080083823051904,1.3867225487012695,0.3333333333333333
0,3,3,28667.0,2,1,1,0,2,1,2.080083823051904,4.160167646103808,3.0
3,1,4,24621.129,1,2,1,1,1,1,2.5198420997897464,0.0,1.0
2,2,4,2424.91587,1,1,0,0,0,0,2.5198420997897464,1.2599210498948732,0.0
1,3,4,25323.19,2,1,1,1,1,1,2.5198420997897464,3.77976314968462,1.0
4,1,5,32892.447,1,2,1,0,2,1,2.924017738212866,0.0,1.8
3,2,5,11231.234,1,2,0,1,1,0,2.924017738212866,1.1696070952851465,0.2
2,3,5,11678.887,2,1,1,0,0,1,2.924017738212866,3.5088212858554395,0.2
1,4,5,37139.0,2,1,0,1,1,2,2.924017738212866,7.017642571710879,1.8
5,1,6,41875.725,1,2,1,1,3,1,3.3019272488946263,0.0,2.6666666666666665
4,2,6,17592.095,1,2,0,0,2,0,3.3019272488946263,1.100642416298209,0.6666666666666666
3,3,6,14086.88044,2,2,1,1,1,1,3.3019272488946263,3.3019272488946267,0.0
2,4,6,18375.034,2,1,0,0,0,2,3.3019272488946263,6.6038544977892535,0.6666666666666666
1,5,6,47320.0,2,1,1,1,1,3,3.3019272488946263,11.00642416298209,2.6666666666666665
6,1,7,49135.0,1,2,1,0,2,1,3.6593057100229713,0.0,3.5714285714285716
5,2,7,26073.128,1,2,0,1,3,0,3.6593057100229713,1.0455159171494206,1.2857142857142858
4,3,7,14907.10463,2,2,1,0,2,1,3.6593057100229713,3.1365477514482616,0.14285714285714285
3,4,7,15768.998,2,2,0,1,1,2,3.6593057100229713,6.273095502896523,0.14285714285714285
2,5,7,27676.553,2,1,1,0,0,3,3.6593057100229713,10.455159171494206,1.2857142857142858
6,2,8,31609.683,1,2,0,0,2,0,3.9999999999999996,1.0,2.0
5,3,8,20945.805,2,2,1,1,3,1,3.9999999999999996,3.0,0.5
4,4,8,4941.672,2,2,0,0,2,2,3.9999999999999996,6.0,0.0
3,5,8,22921.569,2,2,1,1,1,3,3.9999999999999996,10.0,0.5
2,6,8,35064.269,2,1,0,0,0,2,3.9999999999999996,15.0,2.0
7,2,9,40935.826,1,3,0,1,1,0,4.3267487109222245,0.9614997135382722,2.7777777777777777
6,3,9,24954.905,2,2,1,0,2,1,4.3267487109222245,2.8844991406148166,1.0
5,4,9,11348.451,2,2,0,1,3,2,4.3267487109222245,5.768998281229633,0.1111111111111111
4,5,9,12416.486,2,2,1,0,2,3,4.3267487109222245,9.614997135382723,0.1111111111111111
3,6,9,28910.971,2,2,0,1,1,2,4.3267487109222245,14.422495703074084,1.0
8,2,10,49197.147,1,3,0,0,0,0,4.641588833612778,0.9283177667225557,3.6
7,3,10,33052.628,2,3,1,1,1,1,4.641588833612778,2.7849533001676674,1.6
6,4,10,12607.487,2,2,0,0,2,2,4.641588833612778,5.569906600335335,0.4
5,5,10,12050.611,2,2,1,1,3,3,4.641588833612778,9.283177667225557,0.0
4,6,10,15698.673,2,2,0,0,2,2,4.641588833612778,13.924766500838336,0.4
3,7,10,38800.027,3,2,1,1,1,1,4.641588833612778,19.49467310117367,1.6
8,3,11,40728.259,2,3,1,0,0,1,4.9460874432487,2.6978658781356555,2.272727272727273
7,4,11,20177.169,2,3,0,1,1,2,4.9460874432487,5.395731756271311,0.8181818181818182
6,5,11,8667.708,2,2,1,0,2,3,4.9460874432487,8.992886260452185,0.09090909090909091
5,6,11,10649.397,2,2,0,1,3,2,4.9460874432487,13.489329390678277,0.09090909090909091
4,7,11,24365.644,3,2,1,0,2,1,4.9460874432487,18.88506114694959,0.8181818181818182
9,3,12,49009.577,2,4,1,1,1,1,5.241482788417793,2.6207413942088964,3.0
8,4,12,25077.761,2,3,0,0,0,2,5.241482788417793,5.241482788417793,1.3333333333333333
7,5,12,13369.398,2,3,1,1,1,3,5.241482788417793,8.735804647362988,0.3333333333333333
6,6,12,0.0,2,2,0,0,2,2,5.241482788417793,13.103706971044483,0.0
5,7,12,17338.068,3,2,1,1,3,1,5.241482788417793,18.345189759462276,0.3333333333333333
4,8,12,32013.335,3,2,0,0,2,0,5.241482788417793,24.46025301261637,1.3333333333333333
10,3,13,56980.895,2,4,1,0,2,1,5.528774813678871,2.5517422216979413,3.769230769230769
9,4,13,33659.08,2,4,0,1,1,2,5.528774813678871,5.103484443395883,1.9230769230769231
8,5,13,16561.948,2,3,1,0,0,3,5.528774813678871,8.505807405659803,0.6923076923076923
7,6,13,3125.00933,2,3,0,1,1,2,5.528774813678871,12.758711108489706,0.07692307692307693
6,7,13,5345.481,3,2,1,0,2,1,5.528774813678871,17.862195551885588,0.07692307692307693
5,8,13,23115.432,3,2,0,1,3,0,5.528774813678871,23.81626073584745,0.6923076923076923
10,4,14,39954.502,2,4,0,0,2,2,5.808785733563703,4.978959200197461,2.5714285714285716
9,5,14,23663.686,2,4,1,1,1,3,5.808785733563703,8.298265333662435,1.1428571428571428
8,6,14,3019.89328,2,3,0,0,0,2,5.808785733563703,12.447398000493653,0.2857142857142857
7,7,14,2863.41683,3,3,1,1,1,1,5.808785733563703,17.426357200691115,0.0
6,8,14,8007.781,3,2,0,0,2,0,5.808785733563703,23.23514293425482,0.2857142857142857
5,9,14,31964.403,4,2,1,1,3,1,5.808785733563703,29.873755201184768,1.1428571428571428
11,4,15,49825.821,2,4,0,1,3,2,6.082201995573399,4.865761596458721,3.2666666666666666
10,5,15,28957.379,2,4,1,0,2,3,6.082201995573399,8.109602660764535,1.6666666666666667
9,6,15,9873.145,2,4,0,1,1,2,6.082201995573399,12.164403991146802,0.6
8,7,15,101.43809,3,3,1,0,0,1,6.082201995573399,17.030165587605524,0.06666666666666667
7,8,15,2855.622,3,3,0,1,1,0,6.082201995573399,22.706887450140698,0.06666666666666667
6,9,15,16566.752,4,2,1,0,2,1,6.082201995573399,29.194569578752326,0.6
5,10,15,40215.374,4,2,0,1,3,2,6.082201995573399,36.4932119734404,1.6666666666666667
12,4,16,57447.139,2,4,0,0,4,2,6.3496042078727974,4.762203155904598,4.0
11,5,16,37111.699,2,4,1,1,3,3,6.3496042078727974,7.937005259840997,2.25
10,6,16,13694.133,2,4,0,0,2,2,6.3496042078727974,11.905507889761497,1.0
9,7,16,5683.907,3,4,1,1,1,1,6.3496042078727974,16.667711045666096,0.25
8,8,16,-4737.00217,3,3,0,0,0,0,6.3496042078727974,22.223614727554793,0.0
7,9,16,10675.182,4,3,1,1,1,1,6.3496042078727974,28.57321893542759,0.25
6,10,16,23986.775,4,2,0,0,2,2,6.3496042078727974,35.716523669284484,1.0
12,5,17,43716.322,2,4,1,0,4,3,6.611489018457944,7.778222374656407,2.8823529411764706
11,6,17,21031.88,2,4,0,1,3,2,6.611489018457944,11.66733356198461,1.4705882352941178
10,7,17,7870.079,3,4,1,0,2,1,6.611489018457944,16.334266986778452,0.5294117647058824
9,8,17,-808.76421,3,4,0,1,1,0,6.611489018457944,21.779022649037937,0.058823529411764705
8,9,17,1951.701,4,3,1,0,0,1,6.611489018457944,28.001600548763065,0.058823529411764705
7,10,17,16500.452,4,3,0,1,1,2,6.611489018457944,35.00200068595383,0.5294117647058824
6,11,17,34719.58,4,2,1,0,2,3,6.611489018457944,42.78022306061023,1.4705882352941178
13,5,18,51792.64,2,4,1,1,5,3,6.868285455319991,7.63142828368888,3.5555555555555554
12,6,18,24919.266,2,4,0,0,4,2,6.868285455319991,11.44714242553332,2.0
11,7,18,13113.167,3,4,1,1,3,1,6.868285455319991,16.02599939574665,0.8888888888888888
10,8,18,-782.81634,3,4,0,0,2,0,6.868285455319991,21.367999194328863,0.2222222222222222
9,9,18,873.112,4,4,1,1,1,1,6.868285455319991,27.473141821279967,0.0
8,10,18,5317.617,4,3,0,0,0,2,6.868285455319991,34.34142727659996,0.2222222222222222
7,11,18,25037.992,4,3,1,1,1,3,6.868285455319991,41.972855560288835,0.8888888888888888
14,5,19,59770.251,2,4,1,0,6,3,7.1203673589019925,7.495123535686309,4.2631578947368425
13,6,19,32413.754,2,4,0,1,5,2,7.1203673589019925,11.242685303529464,2.5789473684210527
12,7,19,15856.255,3,4,1,0,4,1,7.1203673589019925,15.73975942494125,1.3157894736842106
11,8,19,3332.858,3,4,0,1,3,0,7.1203673589019925,20.986345899921666,0.47368421052631576
10,9,19,-1487.44512,4,4,1,0,2,1,7.1203673589019925,26.982444728470714,0.05263157894736842
9,10,19,1752.054,4,4,0,1,1,2,7.1203673589019925,33.72805591058839,0.05263157894736842
8,11,19,12929.384,4,3,1,0,0,3,7.1203673589019925,41.2231794462747,0.47368421052631576
7,12,19,31838.394,4,3,0,1,1,4,7.1203673589019925,49.46781533552964,1.3157894736842106
15,5,20,69401.569,2,5,1,1,5,3,7.368062997280773,7.368062997280774,5.0
14,6,20,37503.567,2,4,0,0,6,2,7.368062997280773,11.05209449592116,3.2
13,7,20,21766.498,3,4,1,1,5,1,7.368062997280773,15.472932294289626,1.8
12,8,20,3796.172,3,4,0,0,4,0,7.368062997280773,20.630576392386168,0.8
11,9,20,-17.463,4,4,1,1,3,1,7.368062997280773,26.525026790210784,0.2
10,10,20,-7041.93217,4,4,0,0,2,2,7.368062997280773,33.15628348776348,0.0
9,11,20,6850.489,4,4,1,1,1,3,7.368062997280773,40.524346485044255,0.2
8,12,20,17477.694,4,3,0,0,0,4,7.368062997280773,48.62921578205311,0.8
16,5,21,78382.887,2,5,1,0,4,3,7.611662611020244,7.249202486685949,5.761904761904762
15,6,21,45643.0,2,5,0,1,5,2,7.611662611020244,10.873803730028923,3.857142857142857
14,7,21,25231.915,3,4,1,0,6,1,7.611662611020244,15.223325222040492,2.3333333333333335
13,8,21,8062.034,3,4,0,1,5,0,7.611662611020244,20.297766962720655,1.1904761904761905
12,9,21,-47.605,4,4,1,0,4,1,7.611662611020244,26.097128952069415,0.42857142857142855
11,10,21,-5731.776,4,4,0,1,3,2,7.611662611020244,32.62141119008677,0.047619047619047616
10,11,21,-2184.857,4,4,1,0,2,3,7.611662611020244,39.87061367677272,0.047619047619047616
9,12,21,10903.851,4,4,0,1,1,4,7.611662611020244,47.84473641212726,0.42857142857142855
8,13,21,27090.0,4,3,1,0,0,5,7.611662611020244,56.5437793961504,1.1904761904761905
16,6,22,53611.203,2,5,0,0,4,2,7.851424410539689,10.706487832554124,4.545454545454546
15,7,22,31764.805,3,5,1,1,5,1,7.851424410539689,14.989082965575774,2.909090909090909
14,8,22,9283.032,3,4,0,0,6,0,7.851424410539689,19.98544395410103,1.6363636363636365
13,9,22,2793.376,4,4,1,1,5,1,7.851424410539689,25.695570798129896,0.7272727272727273
12,10,22,-8024.716,4,4,0,0,4,2,7.851424410539689,32.11946349766237,0.18181818181818182
11,11,22,-5181.391,4,4,1,1,3,3,7.851424410539689,39.257122052698456,0.0
10,12,22,-399.986,4,4,0,0,2,4,7.851424410539689,47.10854646323814,0.18181818181818182
9,13,22,18201.0,4,4,1,1,1,5,7.851424410539689,55.673736729281444,0.7272727272727273
8,14,22,33640.0,4,3,0,0,0,6,7.851424410539689,64.95269285082836,1.6363636363636365
17,6,23,64171.0,2,6,0,1,3,2,8.087579399090064,10.54901660750878,5.260869565217392
16,7,23,36720.429,3,5,1,0,4,1,8.087579399090064,14.768623250512292,3.5217391304347827
15,8,23,14621.371,3,5,0,1,5,0,8.087579399090064,19.691497667349722,2.130434782608696
14,9,23,3285.263,4,4,1,0,6,1,8.087579399090064,25.31763985802107,1.0869565217391304
13,10,23,-5154.045,4,4,0,1,5,2,8.087579399090064,31.647049822526338,0.391304347826087
12,11,23,-9529.85352,4,4,1,0,4,3,8.087579399090064,38.67972756086552,0.043478260869565216
